Time,Producer,Primary,Secondary,Decomposer
0,67,15,21,30
1,20,5,10,10
2,20,5,10,10
3,19,5,10,10
4,17,5,10,10
5,17,5,10,10
6,16,5,10,10
7,16,4,10,10
8,16,2,10,10
9,16,1,10,10
10,16,0,10,10
11,32,0,5,10
12,32,0,5,10
13,32,0,5,11
14,32,0,5,11
15,32,0,5,11
16,32,0,5,11
17,32,0,1,11
18,32,0,1,12
19,32,0,1,12
20,32,0,1,12
21,32,0,1,12
22,32,0,1,12
23,32,0,0,12
24,64,0,0,12
25,64,0,0,12
26,64,0,0,12
27,64,0,0,12
28,64,0,0,12
29,64,0,0,12
30,64,0,0,12
31,64,0,0,12
32,64,0,0,12
33,64,0,0,12
34,64,0,0,12
35,64,0,0,12
36,64,0,0,12
37,128,0,0,12
38,128,0,0,12
39,128,0,0,12
40,128,0,0,12
41,128,0,0,12
42,128,0,0,12
43,128,0,0,12
44,128,0,0,12
45,128,0,0,12
46,128,0,0,12
47,128,0,0,12
48,128,0,0,12
49,128,0,0,12
50,128,0,0,12
51,256,0,0,5
52,256,0,0,5
53,256,0,0,5
54,256,0,0,5
55,256,0,0,5
56,256,0,0,5
57,256,0,0,5
58,256,0,0,5
59,256,0,0,5
60,256,0,0,5
61,256,0,0,5
62,256,0,0,3
63,256,0,0,3
64,512,0,0,1
65,512,0,0,1
66,512,0,0,1
67,512,0,0,1
68,512,0,0,1
69,512,0,0,1
70,512,0,0,1
71,512,0,0,1
72,512,0,0,1
73,512,0,0,1
74,512,0,0,1
75,512,0,0,1
76,512,0,0,1
77,1024,0,0,1
78,1024,0,0,1
79,1024,0,0,1
80,1024,0,0,1
81,1024,0,0,0
82,1024,0,0,0
